,ax,ay,az,gx,gy,gz,label,segment_ID,animal_ID,timestamp_ms
175,-5.75285,7.1641,-1.03508,18.6585,-81.9512,106.89,walking,1,fG1,1751
176,-4.94059,7.67925,-0.855379,37.439,-69.2073,94.878,walking,1,fG1,1761
177,-4.78246,8.0075,-2.2858,40.122,-51.4634,82.561,walking,1,fG1,1771
178,-4.97893,8.0099,-3.32088,25.3049,-34.4512,72.8659,walking,1,fG1,1781
179,-5.24728,7.56424,-3.3137,7.43902,-22.7439,64.1463,walking,1,fG1,1791
180,-5.26645,6.9844,-2.64521,-2.86585,-19.6951,55.6707,walking,1,fG1,1801
181,-5.03644,6.61062,-2.01266,-5.2439,-19.6341,48.1707,walking,1,fG1,1811
182,-4.8184,6.33029,-1.57179,-2.80488,-15.6098,41.0366,walking,1,fG1,1821
183,-4.51171,6.07152,-1.20999,3.41463,-8.29268,31.3415,walking,1,fG1,1831
184,-3.75217,5.85827,-1.00154,8.84146,3.23171,16.3415,walking,1,fG1,1841
185,-2.76261,5.84869,-1.13811,11.4024,20.0,-3.41463,walking,1,fG1,1851
186,-1.94317,6.38539,-1.39928,6.76829,43.2317,-25.5488,walking,1,fG1,1861
187,-2.85126,7.57861,-2.85606,-13.7195,61.7073,-45.3049,walking,1,fG1,1871
188,-4.31763,9.29896,-4.16189,-44.2683,57.561,-63.7805,walking,1,fG1,1881
189,-4.41826,10.6072,-3.26578,-84.878,72.1341,-83.3537,walking,1,fG1,1891
190,-7.59299,11.2373,-4.42305,-146.463,109.146,-93.2927,walking,1,fG1,1901
191,-12.4258,11.4075,-5.51804,-173.902,98.0488,-92.0122,walking,1,fG1,1911
192,-14.3641,11.3811,-3.75456,-137.073,28.3537,-85.1829,walking,1,fG1,1921
193,-13.6645,11.2589,-3.07649,-79.939,-52.8659,-78.3537,walking,1,fG1,1931
194,-11.9705,10.3772,-2.39602,-31.8902,-116.341,-71.2195,walking,1,fG1,1941
195,-9.66555,9.15759,-1.29385,24.6951,-160.488,-65.7927,walking,1,fG1,1951
196,-7.44923,8.50108,-1.7467,80.122,-176.951,-63.3537,walking,1,fG1,1961
197,-5.66419,7.90687,-3.18671,117.988,-169.024,-61.8293,walking,1,fG1,1971
198,-4.32002,7.27192,-3.22984,137.622,-151.28,-59.939,walking,1,fG1,1981
199,-3.9726,6.84064,-3.11003,137.134,-144.939,-58.3537,walking,1,fG1,1991
200,-4.14512,7.15691,-3.97021,137.012,-164.878,-57.3171,walking,1,fG1,2001
201,-4.20981,8.53463,-5.48449,142.622,-206.402,-51.0366,walking,1,fG1,2011
202,-3.32568,10.1376,-7.91406,151.707,-244.329,-35.061,walking,1,fG1,2021
203,-1.09019,11.0265,-9.03779,143.11,-257.378,-8.41463,walking,1,fG1,2031
204,1.15728,11.0648,-8.7287,98.6585,-233.476,22.622,walking,1,fG1,2041
205,1.5023,10.2957,-7.31984,60.3049,-187.866,46.7073,walking,1,fG1,2051
206,0.395343,9.0905,-6.0188,52.622,-149.634,56.2195,walking,1,fG1,2061
207,-0.455244,8.45076,-5.11071,70.3659,-127.439,51.8902,walking,1,fG1,2071
208,-0.361799,8.45076,-5.1802,81.8902,-102.683,39.8171,walking,1,fG1,2081
209,-0.126989,8.63286,-5.49408,72.5,-57.0122,25.6098,walking,1,fG1,2091
210,-0.414512,8.4292,-5.54918,52.6829,-0.304878,13.3537,walking,1,fG1,2101
211,-1.31781,7.86134,-5.25208,32.378,47.378,3.90244,walking,1,fG1,2111
212,-2.20194,7.30547,-5.10592,19.5732,69.8171,-1.76829,walking,1,fG1,2121
213,-2.68354,7.15452,-5.07238,8.04878,74.0244,-3.17073,walking,1,fG1,2131
214,-2.85126,7.22879,-5.1203,-7.7439,77.7439,-0.792683,walking,1,fG1,2141
215,-3.11003,7.21921,-4.85913,-22.9878,88.3537,5.36585,walking,1,fG1,2151
216,-3.60122,7.09222,-4.17866,-33.4146,99.2073,14.1463,walking,1,fG1,2161
217,-4.17147,7.0419,-3.56767,-34.5732,105.854,23.6585,walking,1,fG1,2171
218,-4.76089,7.17848,-3.3089,-27.0122,107.866,32.9878,walking,1,fG1,2181
